가게명,가게ID
포엔시드니 중계점,36668850
온천골,13151703
화포식당,1073458859
숲속왕돈까스,350682145
불암산소곱창,1785533049
감동식당,1475032741
본가왕뼈감자탕,1983380735
카페델굴,1612635437
복드림 전주콩나물국밥,1423559356
채선당,18046888
오로지라멘,1780273806
전민규의 황제누룽지탕,38008163
어장촌,32591500
영차,1957745746
화로리,1921467560
원할머니,32472888
안시성,19862096
"롯데리아
석계",11825015
"롯데리아
GS마트상계",11824999
"롯데리아
상계",20733052
청학골,18059486
오늘손칼국수앤찜,36191559
감악산왕솥뚜껑 ,1921715050
북경,21665355
쭈주,1682316895
중화요리 연,ID 추출 실패
은행나무  감자탕,1589151710
솔향기,36215389
동흥관,18525138
고기인연,1079088880
샘버거,1960880383
도쿄짬뽕,1510732756
실크로드 중화요리,21012444
롯데리아 시흥중앙,11825057
부산간짜장,1233020037
중화요리 용,1311928970
춘향골남원추어탕,1418131563
육선달,35713500
양궈푸마라탕,1137982760
송림한식전문점,34353604
서울순대국,1904210795
마루,1976703834
부뚜막청국장,13077699
패밀리마라탕 신도림점,1507429313
닥터로빈 고척점,1788491476
토토김밥,1452352455
굴다리집,1247394102
한우마당 구로디지털점,1894448491
92소명품한우 에이스하이엔드지점,1265004879
영춘래,37377184
계림중화요리,1756085569
얌얌플레이트,1015208587
"롯데리아
구로시장",11824713
"롯데리아
구로IT",21567002
황제꽃소,1388054577
신도림 이도식당,75209465
향촌숯불돈갈비,1638124353
다채 개봉점,33525339
청석골,18968416
"한우마당
늘푸른점",1916724350
"금성관
나주곰탕",1273089989
"홍콩반점
구로시장점",634733002
월래순교자관,1673353120
포메인 구의 광장점,1634085644
능동국시,38275086
김가네,11761091
콩예원,33447050
시래마을,37659151
고고기,38676367
유명한 감자탕,1501591994
최원석의돼지한판&서해쭈꾸미광장점,20455631
"엔제리너스
건대역",12785886
"롯데리아
구의역",36513591
중일가든,37757287
친향중식당,1551000005
조프로 뼈다귀감자탕,1982949188
이태리파파,1333222154
브런치빈  구로디지털단지역점,1355365635
명동칼국수,19475017
구동의아침,1219405918
"이금옥샤브
샤브칼국수",31543048
우리설렁탕,13574854
남원추어탕,13015296
황제갈비,1113739302
해담촌,1068175129
애슐리퀸즈서울대입구점,19981002
마뇨떡볶이,37288646
"킹콩부대찌개
보라매점",36666749
가츠가게,1144834974
일커피 서울대입구점,1953294459
"엔제리너스
구로디지털역점",21016946
"롯데리아
봉천",11824938
"롯데리아
봉천역",33861210
"롯데리아
서울대입구역",1280792218
"롯데리아
신림역",11825064
아이나무키즈,1996523383
막불감동,31549509
참이맛감자탕,36720318
봄이보리밥 마곡점,1220996914
루트205,1926479987
돈까스몬스터,1824967346
금왕돈까스,1278277903
명태어장 방화점,371730937
명성각,1300795398
명가원,1636518313
파티오피자,1431520454
빈날,1494410563
가시버시 갈비탕,1570533944
등촌정육식당,758578781
수유리우동집,33040283
한우정,1963102124
초애삼계탕,1036068697
닥터로빈 강서점,13091320
